COUNTRY,UNITS,TOTAL 2016,COAL,NATURAL GAS,PETROLEUM +OTHER LIQUIDS,"NUCLEAR, RENEWABLES + OTHERS"
Afghanistan,Quad Btu,0.1371617897,0.03537612045,0.006111883346,0.07018891507,0.02548487087
Albania,Quad Btu,0.1238306478,0.002335653683,0.001576448208,0.054625866,0.06529267989
Algeria,Quad Btu,2.355316377,0.000697223845,1.491480102,0.855327726,0.007811324581
American Samoa,Quad Btu,0.004986387685,0,0,0.004986387685,0
Angola,Quad Btu,0.360949782,0,0.02969075899,0.276411252,0.05484777099
Antarctica,Quad Btu,0.000415339744,0,0,0.000203053872,0.000212285872
Antigua and Barbuda,Quad Btu,0.0108941898,0,0,0.0104193989,0.000474790898
Argentina,Quad Btu,3.693696135,0.03524529941,1.78723184,1.455311526,0.41590747
Armenia,Quad Btu,0.1381311067,2.72E-05,0.08193547183,0.012106914,0.04406149685
Aruba,Quad Btu,0.0184263244,0,0,0.0170715382,0.001354786202
Australia,Quad Btu,5.988489399,1.850510519,1.561518923,2.253542905,0.322917052
Austria,Quad Btu,1.477954401,0.09836699417,0.3166514243,0.560111435,0.5028245479
Azerbaijan,Quad Btu,0.6087905764,4.01E-06,0.3945951843,0.197450046,0.0167413322
"Bahamas, The",Quad Btu,0.04261468652,0,0,0.04229811126,0.00031657526
Bahrain,Quad Btu,0.69337783,0,0.566823814,0.126554016,0
Bangladesh,Quad Btu,1.373454067,0.0421590789,1.083876497,0.240821778,0.006596713582
Barbados,Quad Btu,0.02551935411,0,0.00073923435,0.0233819627,0.001398157054
Belarus,Quad Btu,0.9453133046,0.01423629971,0.6303685839,0.284674068,0.01603435301
Belgium,Quad Btu,2.682610218,0.1017595115,0.6228861091,1.366870113,0.5910944844
Belize,Quad Btu,0.01119531062,0,0,0.007955241312,0.003240069312
Benin,Quad Btu,0.07841434557,0.001985751183,0,0.072772512,0.003656082383
Bermuda,Quad Btu,0.01081502953,0,0,0.01081502953,0
Bhutan,Quad Btu,0.06158056065,0.001458186469,0,0.006138540654,0.05398383352
Bolivia,Quad Btu,0.3123626698,0,0.1176503569,0.17660049,0.01811182291
Bosnia and Herzegovina,Quad Btu,0.2551103139,0.1458545378,0.007498925617,0.072039414,0.02971743654
Botswana,Quad Btu,0.07679995612,0.02885917806,0,0.04267743,0.005263348062
Brazil,Quad Btu,12.4779307,0.6143491475,1.256183254,6.020299596,4.587098704
Brunei,Quad Btu,0.1726618569,0,0.1405808589,0.032080998,0
Bulgaria,Quad Btu,0.7556280208,0.2335324937,0.1154451669,0.19425999,0.2123903702
Burkina Faso,Quad Btu,0.05044477534,0,0,0.04692751167,0.00351726367
Burma (Myanmar),Quad Btu,0.5112152029,0.009931483126,0.163999918,0.2474606381,0.08982316367
Burundi,Quad Btu,0.006079994712,0,0,0.003072301356,0.003007693356
Cambodia,Quad Btu,0.1556281708,0.02884057061,0,0.096492972,0.03029462821
Cameroon,Quad Btu,0.1496908741,0,0.02662184704,0.08098848,0.04208054704
Canada,Quad Btu,14.67619333,0.712861574,4.071426084,5.031087482,4.860818188
Cape Verde,Quad Btu,0.01235231116,0,0,0.01182995558,0.000522355578
Cayman Islands,Quad Btu,0.009151671912,0,0,0.009075835956,7.58E-05
Central African Republic,Quad Btu,0.007118847288,0,0,0.005772857244,0.001345990044
Chad,Quad Btu,0.004800311796,0,0,0.004800311796,0
Chile,Quad Btu,1.479969112,0.281820625,0.1775543071,0.713098403,0.3074957766
China,Quad Btu,139.1977546,89.94169511,7.642407508,25.69392108,15.91973086
Colombia,Quad Btu,1.767697578,0.2746070413,0.3576794557,0.721918164,0.4134929171
Comoros,Quad Btu,0.002694822132,0,0,0.002694822132,0
Congo (Brazzaville),Quad Btu,0.09563288611,0,0.05176475841,0.03517515505,0.008692972656
Congo (Kinshasa),Quad Btu,0.126007595,0.0002947017556,0,0.04319516774,0.0825177255
Cook Islands,Quad Btu,0.001519243944,0,0,0.001241157972,0.000278085972
Costa Rica,Quad Btu,0.2085499511,2.91E-06,0,0.110030214,0.09851682536
Cote dIvoire (IvoryCoast),Quad Btu,0.193374929,0,0.08165915348,0.102387787,0.009327988508
Croatia,Quad Btu,0.3463333966,0.02634949547,0.08141847412,0.141736062,0.09682936498
Cuba,Quad Btu,0.3795769335,4.87E-05,0.04172370124,0.330716136,0.007088436915
Cyprus,Quad Btu,0.1148323212,3.74E-06,0,0.110959854,0.003868728594
Czech Republic,Quad Btu,1.657550802,0.6733398896,0.3084634889,0.369628846,0.3061185777
Denmark,Quad Btu,0.736335999,0.08412404515,0.1286902203,0.32958992,0.1939318136
Djibouti,Quad Btu,0.01356072468,0,0,0.01327805434,0.000282670342
Dominica,Quad Btu,0.002792129044,0,0,0.002728042122,6.41E-05
Dominican Republic,Quad Btu,0.3559744198,0.02888428413,0.03856474203,0.264813444,0.02371194963
Ecuador,Quad Btu,0.6889402175,0.0003593385217,0.02039905824,0.518572224,0.1496095968
Egypt,Quad Btu,3.81530152,0.01641822902,1.873031843,1.782496128,0.1433553201
El Salvador,Quad Btu,0.1388485482,0,0,0.103190772,0.03565777624
Equatorial Guinea,Quad Btu,0.05448617413,0,0.04363027304,0.01051273402,0.000343167063
Eritrea,Quad Btu,0.006564942,0,0,0.006564942,0
Estonia,Quad Btu,0.08810423818,0.0004063049668,0.018933423,0.060055553,0.008708957215
Ethiopia,Quad Btu,0.2682179543,0.01073853556,0,0.155239266,0.1022401528
Falkland Islands (Islas Malvinas),Quad Btu,0.001299812544,0,0,0.000608362272,0.000691450272
Faroe Islands,Quad Btu,0.0114782865,0,0,0.01000981525,0.001468471252
Fiji,Quad Btu,0.03779137231,0,0,0.03306922216,0.004722150156
Finland,Quad Btu,1.230947085,0.1271616688,0.09052694583,0.430688971,0.5825694998
France,Quad Btu,10.1504119,0.3164766775,1.629960521,3.406617337,4.797357365
French Guiana,Quad Btu,0.0148232155,0,0,0.01063130375,0.004191911748
French Polynesia,Quad Btu,0.01610390521,0,0,0.01400273581,0.002101169406
Gabon,Quad Btu,0.06827780556,0,0.01401345078,0.044125692,0.01013866278
"Gambia, The",Quad Btu,0.00829480626,0,0,0.00812847753,0.00016632873
Georgia,Quad Btu,0.263159289,0.00721535699,0.08279599593,0.066662142,0.1064857941
Germany,Quad Btu,13.86450971,3.221532707,3.201450165,4.974866208,2.466660635
Ghana,Quad Btu,0.2547728718,3.65E-07,0.02752671673,0.17643945,0.05080633992
Gibraltar,Quad Btu,0.170679388,0,0,0.170339694,0.000339694
Greece,Quad Btu,1.119107092,0.1820317242,0.151439482,0.615374764,0.1702611222
Greenland,Quad Btu,0.0125101557,0,0,0.008482533852,0.004027621852
Grenada,Quad Btu,0.004102019936,0,0,0.004041316368,6.07E-05
Guadeloupe,Quad Btu,0.02863531962,0,0,0.02763910781,0.000996211808
Guam,Quad Btu,0.0279650321,0,0,0.02717786005,0.0007871720495
Guatemala,Quad Btu,0.2933260943,0.04203623115,0,0.184920768,0.06636909515
Guinea,Quad Btu,0.0432406624,0,0,0.0392831632,0.003957499202
Guinea-Bissau,Quad Btu,0.005754190146,0,0,0.005754190146,0
Guyana,Quad Btu,0.02982853304,0,0,0.02936764492,0.000460888122
Haiti,Quad Btu,0.0477269,0,0,0.047535714,0.000191186
Honduras,Quad Btu,0.167249575,0.004221472658,0,0.121565802,0.04146230033
Hong Kong,Quad Btu,1.325685795,0.28729626,0.1250353885,0.8762614891,0.03709265761
Hungary,Quad Btu,1.002535841,0.1066011968,0.3633217643,0.316083822,0.2165290574
Iceland,Quad Btu,0.2119905277,0.003470203777,0,0.039825179,0.1686951449
India,Quad Btu,29.03814023,15.47125777,2.036108777,8.92909155,2.601682127
Indonesia,Quad Btu,7.248372206,2.110575804,1.613943201,3.214650468,0.3092027326
Iran,Quad Btu,11.2601455,0.03710279093,7.407321196,3.607034366,0.2086871445
Iraq,Quad Btu,1.90188282,0,0.04075522999,1.789107186,0.07202040399
Ireland,Quad Btu,0.6321237008,0.05600247025,0.1921607377,0.315382923,0.06857756985
Israel,Quad Btu,1.03758176,0.2289197836,0.3598648857,0.448797091,0
Italy,Quad Btu,6.724000904,0.4615559108,2.560762394,2.544079798,1.157602801
Jamaica,Quad Btu,0.1236647838,0.002030706741,0.0006349911765,0.11570175,0.005297335918
Japan,Quad Btu,19.64949675,4.798355621,4.830426471,8.118245358,1.902469303
Jordan,Quad Btu,0.3952796257,0.004506032202,0.1494490072,0.230370648,0.01095393826
Kazakhstan,Quad Btu,3.471685036,2.143404964,0.536060444,0.663194562,0.1290250669
Kenya,Quad Btu,0.3171182991,0.01107448164,0,0.234003198,0.07204061944
Kiribati,Quad Btu,0.001696000892,0,0,0.000824920446,0.000871080446
"Korea, North",Quad Btu,0.3833638176,0.2277739817,0,0.03881424181,0.1167755941
"Korea, South",Quad Btu,12.96115765,3.811903527,1.814689881,5.667827666,1.666736579
Kosovo,Quad Btu,0.09954921396,0.07060680689,0,0.02889720609,4.52E-05
Kuwait,Quad Btu,1.598493656,0.008278958391,0.8230957094,0.766062888,0.001056099832
Kyrgyzstan,Quad Btu,0.2298042236,0.03632284228,0.006944832939,0.080379822,0.1061567264
Laos,Quad Btu,0.1984399804,0.06888643559,0,0.03750019859,0.09205334618
Latvia,Quad Btu,0.1654622513,0.001455264949,0.05015841209,0.077821013,0.03602756124
Lebanon,Quad Btu,0.3239291561,0.002990586067,0,0.317083734,0.003854836067
Lesotho,Quad Btu,0.01591282676,0,0,0.009965915382,0.005946911382
Liberia,Quad Btu,0.0165399964,0,0,0.0162699982,0.000269998202
Libya,Quad Btu,0.6460757193,0,0.1880515377,0.456307938,0.001716243667
Lithuania,Quad Btu,0.2629296814,0.006440208403,0.08037039496,0.126175206,0.04994387199
Luxembourg,Quad Btu,0.1779172239,0.001995132783,0.03132567528,0.117509249,0.0270871668
Macau,Quad Btu,0.05080576494,0,0.0003708838081,0.03518596266,0.01524891847
Macedonia,Quad Btu,0.1106609247,0.03627729765,0.004992952121,0.04313141237,0.02625926257
Madagascar,Quad Btu,0.05816875468,0.01209440566,0,0.03764631568,0.008428033341
Malawi,Quad Btu,0.02739283864,0.001936919644,0,0.01229709968,0.01315881932
Malaysia,Quad Btu,3.306376499,0.6326121611,1.10091277,1.38236736,0.1904842076
Maldives,Quad Btu,0.0229276469,0,0,0.0229276469,0
Mali,Quad Btu,0.05979021448,0,0,0.04621267524,0.01357753924
Malta,Quad Btu,0.1112415088,0,0,0.10440333,0.0068381788
Martinique,Quad Btu,0.03655888246,0,0,0.03655888246,0
Mauritania,Quad Btu,0.03828410589,0,0,0.03566954894,0.002614556944
Mauritius,Quad Btu,0.08281664239,0.0180500132,0,0.0587979,0.005968729197
Mexico,Quad Btu,7.941203635,0.4893964727,2.844381592,4.04942179,0.5580037799
Micronesia,Quad Btu,0,0,0,0,0
Moldova,Quad Btu,0.1300808438,0.003250423718,0.08856757536,0.0360809549,0.002181889868
Mongolia,Quad Btu,0.1927715811,0.1436393745,0,0.042830052,0.006302154543
Montenegro,Quad Btu,0.04503671941,0.01249075771,0,0.014084778,0.01846118371
Montserrat,Quad Btu,0.001627139376,0,0,0.000813569688,0.000813569688
Morocco,Quad Btu,0.7813424548,0.1376884762,0.04652415119,0.537733788,0.05939603941
Mozambique,Quad Btu,0.280868842,0.0002746419357,0.06949317908,0.082241298,0.128859723
Namibia,Quad Btu,0.07618120673,0.0001179737641,0,0.053690004,0.02237322896
Nauru,Quad Btu,0.001046235728,0,0,0.001023117864,2.31E-05
Nepal,Quad Btu,0.1341683616,0.004074318781,0,0.083214126,0.04687991678
Netherlands,Quad Btu,3.974047621,0.4271669483,1.313684434,2.027681102,0.2055151359
Netherlands Antilles,Quad Btu,0.1940919055,0,0,0.1914611928,0.002630712758
New Caledonia,Quad Btu,0.07285020448,0.0269470269,0,0.04320867534,0.002694502238
New Zealand,Quad Btu,0.8976168708,0.05001811972,0.182217134,0.331752073,0.3336295441
Nicaragua,Quad Btu,0.09905706,0,0,0.076172652,0.022884408
Niger,Quad Btu,0.0326101502,0.005384129101,0,0.024068892,0.003157129101
Nigeria,Quad Btu,1.588491269,0.004124309214,0.6836642475,0.849796734,0.05090597869
Niue,Quad Btu,0.000208365996,0,0,0.000104182998,0.000104182998
Northern Mariana Islands,Quad Btu,0,0,0,0,0
Norway,Quad Btu,1.946497853,0.02005935382,0.1859641996,0.440283702,1.300190597
Oman,Quad Btu,1.165942761,0.002371841263,0.786275821,0.376823718,0.0004713802869
Pakistan,Quad Btu,3.1148265,0.2099870588,1.332119527,1.163000868,0.4097190462
Palestinian Territories,Quad Btu,0.07025437794,0,0,0.04657604297,0.02367833497
Panama,Quad Btu,0.4058629608,0.007722348409,0,0.333161748,0.06497886441
Papua New Guinea,Quad Btu,0.09076967016,0,0.0036974805,0.07962065858,0.007451531078
Paraguay,Quad Btu,0.521049076,0,0,0.103203216,0.41784586
Peru,Quad Btu,1.103576633,0.02833270118,0.3539504075,0.4826442,0.2386493242
Philippines,Quad Btu,1.629222171,0.4451861617,0.1135273265,0.868557162,0.201951521
Poland,Quad Btu,4.131291966,2.290902991,0.6410254804,1.173931782,0.02543171223
Portugal,Quad Btu,1.085083137,0.1184922529,0.1909226362,0.49387699,0.2817912577
Puerto Rico,Quad Btu,0.2858581097,0.02377683992,0.06421769684,0.1946758221,0.003187750852
Qatar,Quad Btu,1.84803672,0,1.510507472,0.33747396,5.53E-05
Reunion,Quad Btu,0.0444082425,0,0,0.03776981725,0.006638425252
Romania,Quad Btu,1.370460754,0.2014847964,0.3829039909,0.410182056,0.3758899104
Russia,Quad Btu,31.48513173,4.751306138,15.89347181,7.23040342,3.609950362
Rwanda,Quad Btu,0.01669824121,0,0,0.0137823866,0.002915854604
Saint Helena,Quad Btu,0.00029219244,0,0,0.00014609622,0.00014609622
Saint Kitts and Nevis,Quad Btu,0.00406960196,0,0,0.00349787298,0.00057172898
Saint Lucia,Quad Btu,0.006537024772,0,0,0.006263896386,0.000273128386
Saint Pierre and Miquelon,Quad Btu,0.0017723036,0,0,0.0013861518,0.0003861518
Saint Vincent/Grenadines,Quad Btu,0.003718379148,0,0,0.003234557574,0.000483821574
Samoa,Quad Btu,0.005074160188,0,0,0.004843208094,0.000230952094
Sao Tome and Principe,Quad Btu,0.002202469924,0,0,0.002073538962,0.000128930962
Saudi Arabia,Quad Btu,10.83475545,0.002686375934,3.914854267,6.917214804,0
Senegal,Quad Btu,0.1186776671,0.0095818999,0.001904891639,0.103390242,0.00380063354
Serbia,Quad Btu,0.6558007882,0.3098829788,0.08273797749,0.1513052235,0.1118746085
Seychelles,Quad Btu,0.01559496354,0,0,0.01559496354,0
Sierra Leone,Quad Btu,0.01517514232,0,0,0.01357205116,0.001603091162
Singapore,Quad Btu,3.51161312,0.01520505077,0.4577375478,3.024075732,0.01459478988
Slovakia,Quad Btu,0.7104875427,0.1285292757,0.1738854351,0.169278605,0.2387942269
Slovenia,Quad Btu,0.2818039074,0.04430879855,0.03108520701,0.108242008,0.0981678938
Solomon Islands,Quad Btu,0.003598341744,0,0,0.003285322872,0.000313018872
Somalia,Quad Btu,0.01167056843,0,0,0.01167056843,0
South Africa,Quad Btu,6.073816073,4.345631775,0.1843193762,1.317879624,0.2259852978
South Sudan,Quad Btu,0.01680949648,0,0,0.01680949648,0
Spain,Quad Btu,5.738094178,0.4025741025,1.103254125,2.69505513,1.537210821
Sri Lanka,Quad Btu,0.3618804689,0.05694324847,0,0.262175682,0.04276153847
Sudan,Quad Btu,0.357253632,0,0,0.283735278,0.073518354
Suriname,Quad Btu,0.038350384,0,0,0.027876024,0.01047436
Swaziland,Quad Btu,0.01906967379,0.003382936306,0,0.01070984259,0.004976894896
Sweden,Quad Btu,2.169875924,0.07061168835,0.03602991996,0.655395433,1.407838882
Switzerland,Quad Btu,1.184681095,0.002517522489,0.1331689639,0.46927975,0.5797148585
Syria,Quad Btu,0.4386540028,9.21E-05,0.1386556915,0.291880974,0.008025199736
Taiwan,Quad Btu,4.764669176,1.528713489,0.802704373,2.010851722,0.4223995915
Tajikistan,Quad Btu,0.2166923085,0.03101435694,0.0007023562289,0.03684339,0.1481322054
Tanzania,Quad Btu,0.2343458401,0.007429958784,0.05556429,0.1489814939,0.02237009739
Thailand,Quad Btu,5.418604501,0.6809291713,1.79307402,2.613536094,0.331065216
Timor-Leste (East Timor),Quad Btu,0.007698704204,0,0,0.007349352102,0.000349352102
Togo,Quad Btu,0.04099832215,0.003439601075,0,0.031140744,0.006417977075
Tonga,Quad Btu,0.001895233278,0,0,0.001895233278,0
Trinidad and Tobago,Quad Btu,0.8930771944,5.61E-06,0.7746757419,0.11833878,5.71E-05
Tunisia,Quad Btu,0.3824600375,4.85E-05,0.1832805645,0.193889964,0.005241059029
Turkey,Quad Btu,5.969057701,1.510736924,1.684133298,1.915974989,0.8582124902
Turkmenistan,Quad Btu,1.766416641,0,1.473889677,0.292526964,0
Turks and Caicos Islands,Quad Btu,0.003054738,0,0,0.003027369,2.74E-05
Tuvalu,Quad Btu,0,0,0,0,0
U.S. Pacific Islands,Quad Btu,0.004256860448,0,0,0.004128430224,0.000128430224
U.S. Territories,Quad Btu,0,0,0,0,0
Uganda,Quad Btu,0.09517695571,0,0,0.06529189985,0.02988505585
Ukraine,Quad Btu,3.889533171,1.330201965,1.133836995,0.48436074,0.941133471
United Arab Emirates,Quad Btu,4.709657254,0.05391558437,2.761756479,1.888920726,0.005064465226
United Kingdom,Quad Btu,8.769488138,0.9828903746,3.047646949,3.242847522,1.496103293
United States,Quad Btu,99.16161476,14.22597264,28.400352,39.12361956,17.41167056
Uruguay,Quad Btu,0.2251153033,1.07E-05,0.002354870777,0.107775654,0.114974044
Uzbekistan,Quad Btu,1.764057936,0.0684403599,1.490848412,0.100542396,0.1042267678
Vanuatu,Quad Btu,0.002670927296,0,0,0.002289303648,0.000381623648
Venezuela,Quad Btu,2.752176731,0.004929681217,0.9463269117,1.181218152,0.6197019864
Vietnam,Quad Btu,3.19915582,1.317919928,0.3293502569,0.95555463,0.5963310049
"Virgin Islands,  U.S.",Quad Btu,0.03413985607,0,0,0.03393144803,0.0002084080326
"Virgin Islands, British",Quad Btu,0.002566913916,0,0,0.002566913916,0
Wake Island,Quad Btu,0.019746224,0,0,0.019373112,0.000373112
Western Sahara,Quad Btu,0.003654737652,0,0,0.003654737652,0
Yemen,Quad Btu,0.1437878763,0.003114623119,0.01869869101,0.115210944,0.00676361813
Zambia,Quad Btu,0.1551430752,0.004091181602,0,0.04570059,0.1053513036
Zimbabwe,Quad Btu,0.1580888191,0.07584684063,0,0.048758154,0.03348382451